ID,Sachgebiet,Frage,Antwort Nr. 1,Antwort Nr. 2,Antwort Nr. 3,Richtige Antwort = Nr.
14,"Jagdbetrieb, Hege und Brauchtum",Wie bezeichnet der Jäger die langen Borsten am Pürzel des Keilers?,Grannen,Quaste,Riemen,2
27,"Jagdbetrieb, Hege und Brauchtum",Mit welcher jagdlichen Maßnahme lassen sich Straßenverkehrsunfälle mit Wildtieren wirksam minimieren?,Aufstellen von Verkehrsschildern Achtung Wildwechsel .,Senkung der Wilddichten durch Erlegung.,Anlage von Wildäckern in Straßennähe.,2
29,"Jagdbetrieb, Hege und Brauchtum",Welche Jagdmethode eignet sich besonders gut zur Senkung des Jagddruckes auf das Wild angesichts eines zu erfüllenden Abschussplans von 15 Stück Schalenwild je Jahr und 100 ha?,Tägliche Einzeljagd mittels Ansitz,Allsonntägliches Pirschen (nur auf Wegen),Monatliche Intervalljagd,3
31,"Jagdbetrieb, Hege und Brauchtum",Welche Hunderassen gehören zu den Stöberhunden?,"Deutscher Wachtelhund, Cocker Spaniel","Kleiner Münsterländer, Großer Münsterländer","Weimaraner, Deutsch Drahthaar",1
32,"Jagdbetrieb, Hege und Brauchtum",Welche Zähne werden beim Jagdhund als Reißzähne bezeichnet?,Die Eckzähne in Oberund Unterkiefer.,Die messerscharfen Schneidezähne in Oberund Unterkiefer.,Die besonders kräftigen Backenzähne im Oberund Unterkiefer.,3
34,"Jagdbetrieb, Hege und Brauchtum",Welcher Verband ist die Dachorganisation des Jagdgebrauchshundewesens in Deutschland?,Jagdgebrauchshundeverband e.V. (JGHV),Fédération Cynologique Internationale (FCI),Verband für das Deutsche Hundewesen (VDH) e. V.,1
36,"Jagdbetrieb, Hege und Brauchtum","Wie lange soll ein Welpe bei der Hündin bleiben, bevor er dem neuen Besitzer übergeben wird?",13 Wochen,20 Wochen,8 Wochen,3
37,"Jagdbetrieb, Hege und Brauchtum",Welches Problem bringt das häufige Pirschen und Ansitzen (Jagen) im Jagdbezirk mit sich?,Das Wild wird vergrämt. Es bleibt bis zur Dunkelheit in der Deckung.,Das Wild gewöhnt sich allmählich an den Jäger und verliert die Scheu.,Das Wild verlässt trotz ausreichender Deckung den Jagdbezirk.,1
39,"Jagdbetrieb, Hege und Brauchtum",Was versteht man als Jäger unter Fleischreifung?,das Haltbarmachen (z. B. Einpökeln) des Wildbrets,das natürliche Festigen des Fleisches vom Jungwild bis zum einjährigen Stück,das Abhängen des Wildbrets (die Änderung des pH-Wertes in den sauren Bereich),3
40,"Jagdbetrieb, Hege und Brauchtum",Was versteht man als Jäger unter Reizjagd ?,Die reizvolle Jagd auf Kormorane,Die Lockjagd auf Raubwild,Die Lustjagd der Adligen im Feudalismus,2
41,"Jagdbetrieb, Hege und Brauchtum",Wie lange dauert in der Regel die Hitze einer Hündin?,maximal eine Woche,bis zu drei Wochen,maximal 3 Tage,2
42,"Jagdbetrieb, Hege und Brauchtum",Ihr geimpfter Jagdhund wurde von einem tollwutverdächtigen Fuchs gebissen. Was müssen Sie tun?,"Nichts, denn der Hund ist tollwutschutzgeimpft.","Der Hund ist zu isolieren, der Amtstierarzt zu verständigen, und dessen Weisungen sind zu befolgen.",Der Hund muss an Ort und Stelle getötet werden.,2
